recipe_name,ingredients,preperation_steps,vegan_friendly_(yes/no),nut-free_(yes/no),non-dairy_friendly_(yes/no),vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,iron,vitamin_c,unnamed:_0,fat_(g),carb._(g),fiber_(g),sodium,beverage_category,beverage,beverage_prep,total_fat_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g),vitamin_a_(%_dv),vitamin_c_(%_dv),calcium_(%_dv),iron_(%_dv),caffeine_(mg),item_name
Strawberry-Orange,"10 frozen strawberries, 1 cup yogurt, 1/2 cup orange juice, 1/2 teaspoon sugar","1. In a food processor or blender, process all the ingredients until smooth.",No,Yes,No,coconut milk,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/strawberry-orange-smoothie,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Strawberry-Orange
Blueberry-Mango,"3/4 cup yogurt, 3/4 cup whole milk, 3/4 cup blueberries, 3/4 cup mangos, 1 tablespoon honey, 1 splash vanilla extract","1. Add all ingredients to a blender. 2. Process until the mixture is completely smooth. 3. If the smoothie is too thick, add additional milk. 4. Pour and serve immediately.",No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Blueberry-Mango
Avocado-Coconut,"2 avocados, 3 cups coconut milk, 3 cups mangos","1. In a food processor or blender, process all the ingredients until smooth.",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://recipes.heart.org/en/recipes/avocado-and-coconut-refresher-smoothie,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Avocado-Coconut
Blueberry,"2 cups peaches, 2 cups spinach, 1 cup blueberries, 1 cup whole milk, 1 teaspoon honey","1. In a food processor or blender, process all the ingredients until smooth, about 1 to 2 minutes, stopping to scrape down the mixture if necessary. 2. Pour into glasses. ",No,Yes,No,coconut milk; honey,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/bluey-smoothie,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Blueberry
Peanut Butter,"1 bananas, 1/2 cup whole milk, 1/4 cup yogurt, 1 1/2 tablespoons peanut butter",1. Put all of the ingredients into a blender and blend until smooth.,No,No,No,coconut milk,coconut milk,sunflower seed butter,,https://www.foodnetwork.com/recipes/ellie-krieger/peanut-butter-split-smoothie-recipe-1957586,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Peanut Butter
Berry-Beet,"2 cups mixed berries, strawberries and raspberries, 1 beets, 1 tablespoon lemon juice, 2 teaspoons coconut oil","1. Put the berries, 1/2 cup cold water, beet, lemon juice, honey and coconut oil into a blender. 2. Blend on high until smooth, turning off the blender and pushing down on the ingredients with a spatula or wooden spoon as needed to help the blending process. 3. Add 1 to 2 tablespoons more water if needed to adjust consistency.",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://www.foodnetwork.com/recipes/food-network-kitchen/red-berry-and-beet-smoothie-3362663,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Berry-Beet
Watermelon-Cucumber,"1/2 cup cucumbers, 3 tablespoons whole milk, 1 tablespoon honey, 1/2 lime juice, 2 cups watermelons","1. Put the cucumber, buttermilk, honey if using and lime juice into a blender. 2. Blend on high until smooth. 3. Add half of the frozen watermelon and blend until almost completely smooth, turning off the blender and pushing down on the ingredients with a spatula or wooden spoon as needed to help the blending process. 4. Add the remaining frozen watermelon and continue to blend until smooth. 5. Add 1 to 2 tablespoons of water if needed to adjust consistency. 6. Pour into a glass and garnish with a cucumber slice.",No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://www.foodnetwork.com/recipes/food-network-kitchen/watermelon-and-cucumber-smoothie-3363159,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Watermelon-Cucumber
Tomato-Watermelon,"1/2 cup tomatoes, 3/4 cup watermelon, 1/2 strawberries, 2 basil leaves, 1 tablespoon honey",1. Blend ingredients in a blender until smooth. 2. Pour into a glass and garnish with a watermelon wedge.,No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.foodnetwork.com/healthyeats/recipes/a-year-of-smoothie-recipes,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Tomato-Watermelon
Lime-in-the-Coconut,"2 teaspoons lime juice, 1 bananas, up coconut milk, 1 cup spinach, 1 tablespoon honey",1. Blend ingredients in a blender until smooth. 2. Pour into a glass and garnish with an umbrella straw.,No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.fitlivingeats.com/smoothie-recipe-lime-in-the-coconut/,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Lime-in-the-Coconut
Carrot,"1 cup carrots, 1 cup orange juice","1. In a covered small saucepan, cook carrots in a small amount of boiling water about 15 minutes or until very tender. 2. Drain well. 3. Cool. 4. Place drained carrots in a blender. 5. Add orange juice. 6. Cover and blend until smooth. 7. Add ice cubes; cover and blend until smooth. 8. Pour into glasses.",Yes,Yes,Yes,,,,,https://www.eatingwell.com/recipe/259625/carrot-smoothie/,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Carrot
,,,,,,,,,,,1.34,29.61,2.15,0.0,0.0,134.0,,"Apple, candied",Apples,0.12,3.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, candied"
,,,,,,,,,,,0.17,14.8,0.15,0.0,0.0,61.0,,"Apple, raw",Apples,0.03,4.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, raw"
,,,,,,,,,,,0.93,65.89,0.32,0.0,0.0,243.0,,"Apple, dried",Dried fruits,1.4,3.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, dried"
,,,,,,,,,,,2.81,30.18,9.59,0.0,0.0,215.0,,"Crisp, apple",Cakes and pies,1.0,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Crisp, apple"
,,,,,,,,,,,0.32,22.7,3.08,0.0,0.0,113.0,,"Apple, baked",Apples,0.19,3.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, baked"
,,,,,,,,,,,0.1,11.3,0.13,0.0,0.0,46.0,,Apple cider,Apple juice,0.12,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple cider
,,,,,,,,,,,2.05,33.56,8.66,0.0,0.0,217.0,,"Cobbler, apple",Cakes and pies,0.98,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cobbler, apple"
,,,,,,,,,,,7.4,37.1,8.7,0.0,0.0,1060.0,,"Croissants, apple",Baked Products,1.1,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Croissants, apple"
,,,,,,,,,,,2.7,37.55,15.28,0.0,0.0,296.0,,"Pie, apple",Cakes and pies,1.23,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, apple"
,,,,,,,,,,,1.96,37.18,14.08,0.0,0.0,281.0,,"Strudel, apple",Cakes and pies,0.3,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strudel, apple"
,,,,,,,,,,,0.1,26.1,0.1,0.0,0.0,100.0,,Apple pie filling,Apples,0.29,1.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple pie filling
,,,,,,,,,,,0.09,11.34,0.25,0.0,0.0,48.0,,"Apple juice, 100%",Apple juice,0.06,38.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple juice, 100%"
,,,,,,,,,,,1.45,12.2,14.24,0.0,0.0,180.0,,Apple salad with dressing,Other fruits and fruit salads,0.28,3.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple salad with dressing
,,,,,,,,,,,2.41,52.52,17.5,0.0,0.0,376.0,,"Cake or cupcake, apple",Cakes and pies,0.9,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake or cupcake, apple"
,,,,,,,,,,,0.39,42.5,0.3,0.0,0.0,173.0,,"Fruit butters, apple",Sweets,0.31,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Fruit butters, apple"
,,,,,,,,,,,0.6,5.7,0.3,0.0,0.0,105.0,,"Rose-apples, raw",Fruits and Fruit Juices,0.07,22.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Rose-apples, raw"
,,,,,,,,,,,0.85,8.59,16.02,0.0,0.0,181.0,,"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",0.16,6.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Carrots, raw, salad with apples"
,,,,,,,,,,,0.82,32.43,3.21,0.0,0.0,161.0,,"Banana, baked",Bananas,0.06,10.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Banana, baked"
,,,,,,,,,,,0.74,22.71,0.28,0.0,0.0,97.0,,"Banana, raw",Bananas,0.0,12.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Banana, raw"
,,,,,,,,,,,2.3,58.4,33.6,0.0,0.0,519.0,,Banana chips,Dried fruits,1.25,6.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana chips
,,,,,,,,,,,0.26,18.01,0.13,0.0,0.0,74.0,,Banana nectar,Fruit drinks,0.0,4.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana nectar
,,,,,,,,,,,2.57,28.0,4.26,0.0,0.0,160.0,,Banana pudding,Pudding,0.42,3.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana pudding
,,,,,,,,,,,2.42,32.59,6.88,0.0,0.0,199.0,,Banana split,Ice cream and frozen dairy desserts,0.17,4.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana split
,,,,,,,,,,,1.09,22.8,0.33,0.0,0.0,371.0,,"Bananas, raw",Fruits and Fruit Juices,0.26,8.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bananas, raw"
,,,,,,,,,,,0.73,20.1,0.22,0.0,0.0,85.0,,"Bananas, overripe, raw",Fruits and Fruit Juices,0.0,9.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bananas, overripe, raw"
,,,,,,,,,,,2.47,53.07,17.51,0.0,0.0,379.0,,"Cake or cupcake, banana",Cakes and pies,0.88,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake or cupcake, banana"
