en_name,th_name,ingredients,course,province,region,,unnamed:_0,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,unnamed:_0.1,mean,median,histogram_path,description_path,heatmap_path,group,_source_file
Koi,ก้อย,Beef+lime juice+fish sauce+chili+herbs,main dish,Ubon Ratchathani,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Chap,กวยจั๊บ,Pork belly+rice noodles+soy sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao,ก๋วยเตี๋ยว,Rice noodles+pork+bean sprouts+garlic+fish sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao Khaek,ก๋วยเตี๋ยวแขก,Beef+noodles+curry powder+coconut milk,main dish,Ayutthaya,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao Kua Kai,ก๋วยเตี๋ยวคั่วไก่,Chicken+noodles+soy sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao Pak Mo,ก๋วยเตี๋ยวปากหม้อ,Pork+herbs+rice flour+garlic,main dish,Nakhon Pathom,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao Mon,ก๋วยเตี๋ยวมอญ,Rice noodles+pork+fish sauce+herbs,main dish,Nonthaburi,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kuai Tiao Ruea,ก๋วยเตี๋ยวเรือ,Rice noodles+pork+blood broth+bean sprouts,main dish,Ayutthaya,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kung Chae Nam Pla,กุ้งแช่น้ำปลา,Shrimp+fish sauce+garlic+chili,main dish,Coastal provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Koey Yeung Kok Siang Bi,เกยย้งก๊กเซียงบี๊,Herbs+pork+soy sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Lao,เกาเหลา,Beef broth+vegetables+garlic+fish sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kiem Ee,เกี้ยมอี๋,Rice noodles+pork+garlic+fish sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Koa Lae,ไก่กอและ,Chicken+spices+coconut milk+turmeric,main dish,Pattani,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Katet,ไก่กะเต็ด,Chicken+spices+soy sauce+garlic,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Tai Nam,ไก่ใต้น้ำ,Chicken+herbs+soy sauce+garlic,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Yang,ไก่ย่าง,Grilled chicken+soy sauce+garlic,main dish,Khon Kaen,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Ob Fang,ไก่อบฟาง,Chicken+straw+soy sauce+garlic,main dish,Rural areas,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Khanom Chin,ขนมจีน,Fermented rice noodles+curry+coconut milk,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Khanom Chin Kaeng Kai Kua,ขนมจีนแกงไก่คั่ว,Rice noodles+chicken curry+coconut milk,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Kan Jin,ข้าวกั๊นจิ๊น,Rice+pork blood+garlic+fish sauce,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Kha Mu,ข้าวขาหมู,Pork leg+rice+garlic+soy sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Khluk Kapi,ข้าวคลุกกะปิ,Rice+shrimp paste+garlic+chili,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Chi,ข้าวจี่,Grilled sticky rice+soy sauce+garlic,main dish,Rural areas,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Chae,ข้าวแช่,Rice in jasmine-scented water+shrimp paste balls+garlic,main dish,Central provinces,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Soi,ข้าวซอย,Curry noodles+chicken+coconut milk,main dish,Chiang Mai,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Dok Rai,ข้าวดอกราย,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Tom,ข้าวต้ม,Rice porridge+pork+garlic+fish sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Pheup,ข้าวเปิ๊บ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Phat,ข้าวผัด,Fried rice+soy sauce+garlic,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Phat Sapparot,ข้าวผัดสับปะรด,Pineapple fried rice+soy sauce+garlic,main dish,Coastal provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Phat American,ข้าวผัดอเมริกัน,American-style fried rice+soy sauce+garlic,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Man Kaeng Kai,ข้าวมันแกงไก่,Chicken curry with rice+garlic+soy sauce,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Man Kai,ข้าวมันไก่,Chicken with rice+garlic+soy sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Man Somtam,ข้าวมันส้มตำ,Rice with papaya salad+garlic+chili,main dish,Various,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Maew,ข้าวแมว,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Yam,ข้าวยำ,Rice salad+vegetables+herbs,main dish,Southern provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Rad Na Kai,ข้าวราดหน้าไก่,Rice topped with chicken+garlic+soy sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Raem Fuen,ข้าวแรมฟืน,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Sia Po,ข้าวเสียโป,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Na Ped,ข้าวหน้าเป็ด,Rice with duck+garlic+soy sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kao Mok,ข้าวหมก,Biryani rice+chicken+spices,main dish,Southern provinces,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Kai Paam,ไข่ป่าม,Egg grilled in banana leaf+garlic+herbs,main dish,Northern provinces,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Jok,โจ๊ก,Rice porridge+pork+garlic+fish sauce,main dish,Bangkok,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Soi Ju,ซอยจุ๊,Raw beef salad+herbs+garlic,main dish,Northeast provinces,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
Sup,ซุบ,Unknown,main dish,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data\thailand_foods.csv
