recipe_name,ingredients,preperation_steps,vegan_friendly_yesno,nutfree_yesno,nondairy_friendly_yesno,vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,protein,carbs,fat,iron,vitamin_c,unnamed_0,carb_g,sodium,beverage_category,beverage,beverage_prep,total_fat_g,trans_fat_g,saturated_fat_g,sodium_mg,total_carbohydrates_g,cholesterol_mg,dietary_fibre_g,sugars_g,vitamin_a__dv,vitamin_c__dv,calcium__dv,iron__dv,caffeine_mg
,,,,,,,,,,,22.5,65.2,13.7,9.9,26.7,479.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15.9,20.7,16.8,7.6,15.0,316.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28.3,62.4,14.5,10.8,15.3,524.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23.3,18.6,7.9,17.0,0.2,250.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30.8,55.1,31.9,12.5,7.2,602.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,35.5,72.8,19.6,6.7,11.9,634.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.1,45.1,9.8,12.5,21.0,374.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38.1,23.1,17.1,0.0,5.6,379.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31.6,43.3,17.4,5.3,17.4,418.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21.4,76.1,18.1,2.0,23.0,566.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46.5,58.6,21.1,1.2,11.8,609.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15.2,50.9,22.7,2.4,16.4,507.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36.7,41.4,21.6,5.3,0.0,495.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,17.9,62.6,22.8,10.3,15.6,543.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,33.2,61.6,18.0,3.8,17.4,528.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15.7,30.0,27.0,2.5,5.1,436.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7.5,30.9,15.0,4.9,20.3,287.0,low,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24.2,45.1,23.0,11.3,2.2,471.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,
